"","A","R","N","D","C","E","Q","G","H","O","I","L","K","M","F","P","U","S","T","W","Y","V"
"4",0.0632176667705493,0.0525785435650144,0.0428440418486958,0.0533959786203674,0.0277057639127184,0.0681755022627362,0.0426377859621528,0.0676005253026204,0.0268028121747795,0,0.0533167479991283,0.0949369332782798,0.0636097255802914,0.0213485279563225,0.0400112567022309,0.0466185860032562,0,0.0673646699654192,0.0530315418252567,0.0137323665694967,0.0344303798252589,0.0661276620076862
"5",0.0602736485800345,0.053993401423039,0.0425768520807733,0.0524571916185149,0.0291051761310531,0.0688205722768614,0.0445863479130817,0.0660744139353347,0.0305100224305378,0,0.0530856436316694,0.0956013520469665,0.0639521187300227,0.0214794528399312,0.0416138302526469,0.044252034368085,0,0.0689809828497657,0.0521159674791005,0.0135518738781658,0.0345729260296318,0.062392418573272
"9",0.0640471237772589,0.0560065332687175,0.0405212095362627,0.0528494638920789,0.0256803794280296,0.070996996760487,0.0463213590942212,0.0642435554254493,0.0283966423255217,0,0.0504696187515138,0.0989810151979759,0.0621866213287224,0.0211405389042172,0.0402256725611607,0.0476465940573455,0,0.0686773867709671,0.0515510638324368,0.0132459593493306,0.0323180298637556,0.0644544948419632
"12",0.064663169417978,0.0559294563291899,0.0403549426845447,0.0531787033144699,0.0257671188024873,0.0708191380472246,0.0462809678500556,0.0640504097615992,0.0284233527977487,0,0.050372538002697,0.099456680076615,0.0624287385193298,0.021517387287027,0.0403898392608828,0.0469946329895595,0,0.0677214445547774,0.0513741201824122,0.0131269449673398,0.0322701932070966,0.0647539089744592
"14",0.0658405571851632,0.0569358748380405,0.0395268922384161,0.0527597574563225,0.0253963300139487,0.0703642044354573,0.046541351928417,0.0645183284362484,0.0278727458489786,0,0.0492897977914247,0.100841927341034,0.0603176842047855,0.0210998470439697,0.0402355325475266,0.048454562118682,0,0.0684142329150724,0.0512773411022789,0.0133069506790666,0.0320858073663115,0.0649028440710079
"15",0.0641106043388012,0.0559843203105505,0.0390385098462724,0.0515358340027068,0.0257531568904959,0.0706278076378149,0.0460315611584773,0.063218591181945,0.0284196667255179,0,0.0489834940830138,0.0969988481974276,0.0615418256620337,0.0202651154568138,0.0388288110737856,0.0473596186936933,0,0.0685793375507429,0.0514783257510743,0.0129671737908877,0.0313559209380789,0.0639135116599467
"16",0.0645758922596743,0.0564574927133843,0.0402212878449208,0.0524801265117105,0.0263127875261047,0.0708629396113276,0.0462466882697057,0.0640185559070873,0.0288651998302469,0,0.0499705891131771,0.0987208158581133,0.0622788072386011,0.0208121620982078,0.0400646486602474,0.0475361326925438,0,0.0688552857974881,0.051835799745725,0.0132190072456734,0.0321348557086699,0.0645292822731721
"18",0.0647933885020275,0.0565392827671835,0.0395898451095224,0.0522725927572076,0.0269600087973596,0.06894718588541,0.0454065198480886,0.0669873237413329,0.0285280394926179,0,0.0499744235295418,0.0984314983765915,0.0605942536982423,0.0207189467135247,0.0406310697578049,0.047568576085689,0,0.0678823846111698,0.0516445206800726,0.0139187917679481,0.0331542973575179,0.0654535846703083
"20",0.064049593952092,0.0562209911363897,0.0403424303611001,0.0520381038667337,0.0265384242094175,0.0705637436284819,0.0463836220766907,0.0640921681898853,0.0291423542759031,0,0.0501094868196919,0.0984803472398565,0.0623981270226368,0.0209544846953548,0.0402136755510024,0.047480902374,0,0.0689191151877171,0.0517762321340978,0.013083295725398,0.0322763247378392,0.0642206697753541
"22",0.0637488646146411,0.0553709718863966,0.0404126920669927,0.0531873150340011,0.0253808696065104,0.0702202863711047,0.0465811390501179,0.0637312553286293,0.0278533392952053,0,0.0499994726018418,0.10033479917103,0.0618277193440761,0.0215296681297052,0.0405503057242979,0.0476893046435298,0,0.0694262600175495,0.0517892460388428,0.0132484550736884,0.032087858118499,0.0648895453288502
