"","A","R","N","D","C","E","Q","G","H","O","I","L","K","M","F","P","U","S","T","W","Y","V"
"4",0.0645010163066932,0.049641841985272,0.0420486495021221,0.0513363412543299,0.0270235568791102,0.062309630018595,0.0387587452590382,0.0723229677097194,0.0264603473007075,0,0.056947886492581,0.0978102390895187,0.0594225799100265,0.0220881821414931,0.043669159901396,0.0461999874914986,0,0.066333813714613,0.053470759475709,0.0145625502384884,0.0356227516940476,0.0690109683423748
"5",0.0611422566377326,0.051124298284203,0.0417471439358111,0.0501336981625434,0.0284353619975454,0.0617229958538924,0.0404833073739708,0.0714839720451506,0.0309415407069814,0,0.057287168372165,0.0974250880415614,0.0599660808751832,0.0221490726157943,0.0458486142960638,0.0432548468102782,0,0.0682367961416271,0.0528242813946536,0.0143588690992304,0.0360106061815078,0.0654198314791385
"9",0.065069631673759,0.0526709918798829,0.0406734551627575,0.0513459342554703,0.0259547384716668,0.0631430775866103,0.0408727268081858,0.0706173032675108,0.0290161282854918,0,0.0555598433175989,0.100169920920814,0.057977522305273,0.0218090870193134,0.0447036908063533,0.0450071129014482,0,0.0651083765625609,0.0522005230106646,0.0143878408800233,0.0345081991323694,0.0691786422378517
"12",0.0658741186192131,0.0527646322519118,0.0403594688508965,0.0514338994915621,0.0259047034443512,0.063068248262952,0.0409822853022075,0.0701964813138881,0.0288391570172466,0,0.0551344288438511,0.100895837635457,0.0580269797015765,0.0224520688672408,0.0449525755766178,0.044431594931967,0,0.0644876842509193,0.0521836838281085,0.0143036614516741,0.0341675040288761,0.0694339161527057
"14",0.0668660294875792,0.0532017875160372,0.039618020998623,0.051390126968902,0.0251218387229837,0.0627218866557284,0.0413210462045783,0.0705597726901677,0.0280631581481024,0,0.054206897818867,0.103040057467771,0.0556073972977809,0.0219546818468174,0.0448009859808488,0.046050107964756,0,0.0650442692555521,0.0519998361791123,0.0145387154737302,0.0340704382696287,0.0698073443923246
"15",0.0645624287439868,0.0526575219734191,0.038765745257016,0.0496817929845924,0.0263515878472929,0.0626395798843389,0.0404908401250057,0.0687834309240806,0.0290107136581358,0,0.053010508491839,0.0970335047204548,0.0573093861575184,0.0204301922079543,0.0428050751234431,0.0442109031279634,0,0.0645394975970141,0.0519933235958655,0.0139810695010169,0.0334251563268133,0.0682937151169262
"16",0.0652950400421523,0.0531574335441781,0.040360417617381,0.0509138780921546,0.0266645697617919,0.0631980576476153,0.0407417542265468,0.0699972740074018,0.0296555381427746,0,0.0550731891860538,0.0997101177156332,0.0585004466584686,0.0215608611030934,0.0446332218091173,0.0445952508669862,0,0.0654871756296657,0.0526701194621018,0.0142945853841541,0.0342987479697264,0.0691931952969957
"18",0.0658976394969016,0.0532424134469123,0.0389989829311645,0.0503077693865791,0.0265978395793625,0.0614906901149666,0.0404278715754251,0.0725742421180726,0.0289483100691717,0,0.0545242362416545,0.100766420948553,0.056513628204409,0.0214568854898882,0.0449094526323809,0.0459901465582124,0,0.0662270466270632,0.0520558609714511,0.0149227638944485,0.0345198888844415,0.069623215277889
"20",0.0651609163098947,0.0528219051910057,0.0402375706281544,0.0503498920113162,0.0268228275655636,0.0625488061436996,0.0408977483686672,0.069918895165467,0.0299973995778097,0,0.0551293084338216,0.0998308484335497,0.0583310762177972,0.0216215034449007,0.044895779387113,0.0442957707784377,0,0.0655152507212299,0.0524258113760652,0.0141789261880053,0.0342801532883735,0.0687804241292549
"22",0.0651084135935577,0.0518778687199118,0.0404944995777968,0.0517236856671455,0.024932451057515,0.0626407132474657,0.0412683867445704,0.0699357399839868,0.0281587968139892,0,0.0549279942350517,0.102097039091373,0.0571832535148676,0.0223307450297613,0.0452012230864213,0.0451718613524744,0,0.0659684227154656,0.0525387011540231,0.0144290476953277,0.0342311404725163,0.0696581140508999
"23",0.060042951687675,0.0519183902208571,0.043043927000234,0.0535475347941191,0.0268210340207149,0.0608078767264506,0.0401555412965506,0.0692115441717004,0.0290505307916448,0,0.0561875007646691,0.0974856624872055,0.0583986242970769,0.0239678328731289,0.0455758013291771,0.0416781396248671,0,0.0707450639681411,0.054301394612365,0.0141152160376736,0.0339438153170342,0.0690026125744318
