"","A","R","N","D","C","E","Q","G","H","O","I","L","K","M","F","P","U","S","T","W","Y","V"
"4",0.0654732735737353,0.0542405701601494,0.0411319301783568,0.0508131484559783,0.0299934516425485,0.0745271984915574,0.0503092534131536,0.056063380512974,0.0241556095853511,0,0.0480086835987128,0.0926364692765754,0.0664951503400908,0.0209652209222932,0.0342782833256027,0.048293277203677,0,0.0787007489491894,0.0554668201997618,0.0123417887258616,0.0313512894648139,0.0641804924044905
"5",0.0638015445422672,0.0544250264163468,0.0411614101602628,0.048839899838456,0.0318871107343848,0.0745991644451726,0.0500627470269792,0.0559005796891379,0.0255180418922297,0,0.0482685734752569,0.0978896708827787,0.0626590118080546,0.0219490725183864,0.0369815035155273,0.0482131014576781,0,0.0780736139873245,0.0535725075257702,0.013555301188368,0.0313096738027565,0.061329082223637
"9",0.0673887640671329,0.0592532150438419,0.0370590373625798,0.0496805100946192,0.0240437155052056,0.0775662874604605,0.054352753652208,0.0567687399289475,0.0252475769955114,0,0.0415303266430375,0.0989097246815697,0.0614706413821244,0.020520807273658,0.0335988625121188,0.0576487847717502,0,0.0843937320193573,0.0531403660774555,0.0117171286569384,0.0270994102865275,0.058586476967231
"12",0.0670462597121688,0.0585584245150026,0.0368639568759894,0.0497211661978273,0.0252984218227482,0.075476647000303,0.0540399514195648,0.0570541169544707,0.0252385459246003,0,0.0424423117519657,0.10031714716949,0.0610202379233504,0.0208182532065023,0.0350472147340061,0.0559909133011183,0,0.0827598056690385,0.0528735826526632,0.0118186201552103,0.0278745988679625,0.059579462664797
"14",0.0688830384590347,0.0558368971575644,0.0352602911011671,0.0445015890816444,0.0278912601507805,0.0652489155949842,0.0479451940225955,0.0560970286413686,0.0255279945399542,0,0.0483291994131968,0.106695446590943,0.0547079966232785,0.0232491516703487,0.0403331088667148,0.0549636269460634,0,0.084668982209279,0.0547900265189821,0.011059848021493,0.0306941954331795,0.0632987910121918
"15",0.0680535576136449,0.0581668551872049,0.0363059073288934,0.0486960596624937,0.0229551221858171,0.0772167789112157,0.0541027129693424,0.0562449009436815,0.0251284560759099,0,0.0430270876629156,0.100890838947121,0.0610442438503917,0.021058203379288,0.0336592744613426,0.0573861868987402,0,0.0850228617488051,0.0536300757600291,0.0114265477434098,0.0266628866157763,0.0586497794250159
"16",0.0679733348231147,0.0591851263012304,0.0366556903581285,0.0491213948522435,0.0246342413151151,0.0766555334176415,0.054166664319134,0.0571287499612034,0.0252079532840914,0,0.0415381274755609,0.1000570149311,0.0605526833149653,0.0203830715213199,0.0342700347728336,0.0574351045865495,0,0.0836957422916543,0.0529188763950465,0.01195064052666,0.0271361105721943,0.0593326143053931
"18",0.0691696772000097,0.0577969214448804,0.0364222418018091,0.0472505713048922,0.0298433875699244,0.0721953104917893,0.0529411576211451,0.0603253338077021,0.0242900718055804,0,0.0418280098614234,0.100591827261597,0.0565805416537391,0.0200983165353481,0.0352811731155446,0.0550818415483996,0,0.0808036908811559,0.0540836115327379,0.0135378890088228,0.0298948260781518,0.0619678787906934
"20",0.066485813042753,0.0580647338891478,0.0369457599246315,0.0475439089174947,0.0254899814146602,0.0748390339625155,0.0533468117788306,0.0570815784599482,0.0254086734676182,0,0.0426390680584276,0.100899996628426,0.0597237535783366,0.0212026815113718,0.0353471391749486,0.0573148744547454,0,0.083625088477957,0.0535978319048887,0.0119277315047022,0.0278545368638699,0.0600807298239185
"22",0.0648732999106804,0.0531628586578714,0.0362659167276576,0.0446508038682873,0.0281116186076602,0.0640074658101359,0.0473691720042523,0.0540862037260281,0.0252505639321925,0,0.0507781957001294,0.107359094979995,0.0561518719974741,0.024581109528545,0.0417868854726431,0.0536764589777402,0,0.0859190233612502,0.0556788684976194,0.0108988929425463,0.0311589611120596,0.0640075340053902
"23",0.0615504952335059,0.0579520486420809,0.0413410740604178,0.0511632495130523,0.0274804032298634,0.0726615254671643,0.0518388581605069,0.0550093318742173,0.0263633311474204,0,0.0474519946650315,0.0953561932330999,0.0609299132638531,0.0224664650122777,0.0353388984479821,0.0500085312324109,0,0.0849249514176966,0.0558470238818845,0.0108273779878988,0.0301657771422584,0.0613140603998445
"25",0.0687406843527743,0.0591438716149916,0.0362635207581561,0.0475306111125506,0.0273570033471266,0.070528573206989,0.0509267953768868,0.0582951709220201,0.0255074065119695,0,0.0433526395659436,0.102580393374694,0.0572394514925754,0.0214554372726381,0.036369494630064,0.057321680525716,0,0.0825794655074707,0.0529588131050539,0.0118360199723532,0.0294169219277917,0.0605591401906431
"28",0.0639205645166971,0.0655508860609363,0.0463082661834853,0.0489917354605213,0.0216258049761736,0.0884643388861624,0.0503464574942047,0.0494708953495746,0.0206590310106648,0,0.0548908738718,0.0990075057833812,0.0717759020078021,0.0199114806981861,0.0355348142507203,0.0490513944582876,0,0.0696767077002926,0.0529672873653382,0.0117340129383332,0.0254236318340775,0.0546566075567943
"29",0.0685940284988616,0.0572945434073003,0.0359780670403807,0.0461272971651711,0.0269167172116168,0.0683042099499263,0.0493531053703018,0.0572576138140278,0.0255140956533332,0,0.0464873084681363,0.104662374087024,0.0557572270390284,0.0225934498984789,0.0386943033254195,0.0561258043446106,0,0.0835162703265988,0.0539110746373796,0.0113112877818527,0.029699502556765,0.0619025767709473
"31",0.066694626566396,0.0527899690356218,0.0352603202898726,0.0434384579979749,0.0291244140715155,0.0596137464096131,0.0449349662940536,0.0535812665377931,0.0255926843621218,0,0.0519851384325163,0.110793556794487,0.0526126294507125,0.025414818569555,0.0439041947460615,0.0525740852701079,0,0.0864603153937387,0.0563066919077711,0.010152217815257,0.0327030438077248,0.0659257871102271
"35",0.067428838064923,0.0581170911123819,0.0360810184520963,0.0475909805378115,0.0249957638735734,0.0754357383346436,0.0534861468991418,0.0564900672536665,0.0251932238447572,0,0.0433114216768541,0.102600751754325,0.0591348904304775,0.0216572765409946,0.0353012857974302,0.0568472022410989,0,0.0838374940186678,0.0532028243779876,0.0117861798001207,0.0274265626399131,0.0594360436234552
"36",0.0685663640828699,0.054792273253158,0.0353925199386288,0.0447492681607188,0.0272299904887088,0.0660928950343262,0.0480835225066774,0.0559835323454064,0.0257046598777876,0,0.0480723548475616,0.107225234843133,0.0553438859315528,0.0235681066761467,0.0400150157248148,0.055345491110061,0,0.0856352695125697,0.0542110347817001,0.010873489809665,0.0304444864214625,0.0626669938550823
"38",0.0668636701671343,0.0582527920890942,0.0352730832590336,0.0468078012417528,0.0254739368035407,0.0747472651223123,0.0526550570492964,0.0567495114594643,0.0254488677452302,0,0.0430192658550428,0.104286638286838,0.0567379375654517,0.02157168956182,0.0361236402937415,0.0583864647916089,0,0.0831311394783344,0.0531850723004851,0.0117243566845526,0.0283543827419069,0.0611978759706261
"40",0.0695576795703596,0.059349739250333,0.0355637169498301,0.0482902575491901,0.0267616565668012,0.0719721089463298,0.0513061384096044,0.0587536294981128,0.0256136739165337,0,0.0419344460079561,0.102437173957982,0.0580104803233635,0.0209838515377504,0.0355430062760825,0.0573010345724949,0,0.0827251750660819,0.0526783478509058,0.0118159821423887,0.0283443923553724,0.0610540666097923
"41",0.0594063580035737,0.0554807448875177,0.0433101382012004,0.0492322046367425,0.0273751552148082,0.0717325612199706,0.0492060029781448,0.0522363133313989,0.023459908273134,0,0.0552378701681504,0.098679095789361,0.0661261723811413,0.0219636941979626,0.0394660436183697,0.0455564804129694,0,0.0779970756754278,0.056275213097729,0.0126171994288071,0.0317988668081921,0.0628355585320035
"42",0.0644255525165452,0.0563493002895817,0.0397191581006371,0.0496179922890431,0.03029452280227,0.0697563452696539,0.0506240684404825,0.0581966634728999,0.0239036227263542,0,0.0468174970919375,0.0943368487164731,0.0592831857517188,0.0211890098965953,0.0356271265588744,0.0483824919645644,0,0.0830930346243087,0.058015955543379,0.0131144460753402,0.0325498767746832,0.064693112131824
