,SpeciesUID,A,R,N,D,C,E,Q,G,H,O,I,L,K,M,F,P,U,S,T,W,Y,V
1,4,0.131588811920948,-0.11182885864671,-0.3050362393185,-0.12013881543796,-0.718014287227417,0.12076111939197,-0.330648110736767,0.168218216862478,-0.783952356506131,0,-0.00930950814034137,0.557589718074011,0.066349669455771,-0.931906654713814,-0.260903264244622,-0.209063601207162,0,0.186684060582335,-0.0567755160552488,-1.36378077328604,-0.473119717874886,0.185894046786425
2,5,0.0772142478337043,-0.106144177895481,-0.326573367409807,-0.161964171023949,-0.693995189851544,0.102854237903157,-0.313469394085744,0.126348961880463,-0.684663511358969,0,-0.0138201844520083,0.553619398892421,0.0492288392609468,-0.93084689250161,-0.233232661752298,-0.273794617784491,0,0.188689537639248,-0.0881337503984763,-1.3776264844778,-0.481924303966794,0.123653075111155
3,9,0.107449983505182,-0.074115129134166,-0.388332021707014,-0.149039475686063,-0.830139069760297,0.142460085002483,-0.272615607495322,0.0936007410889861,-0.753604245699072,0,-0.114835740360097,0.556439175858919,0.0171743374648576,-0.991235128671786,-0.313668228309543,-0.216965443612967,0,0.164134879899926,-0.120291887687773,-1.43601951183965,-0.574151795051024,0.120063474878729
4,12,0.102483494345206,-0.0921328650831947,-0.409398425129015,-0.160680866665798,-0.838753849639893,0.121443390352336,-0.290390934229692,0.0771313860230611,-0.767338052455636,0,-0.128195933124494,0.548753439508369,0.00380159855992401,-0.98324146601802,-0.318126740813151,-0.24501563050596,0,0.137523858655058,-0.135345603188961,-1.45612575590139,-0.588169962595757,0.114252408349116
5,14,0.115725631008606,-0.0943688194315921,-0.442986350287499,-0.194842977387488,-0.838906034160101,0.0806106552332411,-0.311061749648279,0.0644823988329857,-0.791557422369751,0,-0.13159623521558,0.570193633183316,-0.0540994131616683,-0.982518380813719,-0.303515464734262,-0.228635215811627,0,0.150629960379573,-0.13593257890308,-1.46345969177141,-0.584670910433517,0.12084529145817
6,15,0.096665476050406,-0.085518771769709,-0.436497148601989,-0.185627360860034,-0.835442330745313,0.123844332448793,-0.291689779726405,0.0644043395808036,-0.762720060087855,0,-0.152850584750901,0.529385424541518,-0.0052940529090435,-1.03886604531975,-0.355165865219612,-0.235035203674378,0,0.152624144809917,-0.133572268407056,-1.47088682915687,-0.612280515075394,0.100654715746948
7,16,0.086874799754558,-0.0960406158432181,-0.425246885099654,-0.185990688458202,-0.833348869604596,0.109158650175879,-0.304782181668958,0.0610387496167659,-0.767582986034847,0,-0.147369769084806,0.528645863498975,-0.0116354624138912,-1.02842779935227,-0.339807062753342,-0.246979004685413,0,0.139051418941582,-0.143546416599858,-1.46512262060254,-0.605712890796202,0.0955254909510637
8,18,0.094633141164195,-0.116088848854392,-0.458954709215473,-0.226608025900086,-0.808139657348778,0.0380015883972655,-0.35476346836476,0.0854924697697843,-0.795805177083419,0,-0.131195846478714,0.539324085970703,-0.072290201592454,-1.01449564161719,-0.308575994069079,-0.260919045418875,0,0.124761875965587,-0.147689044041933,-1.41612090758311,-0.57743979132004,0.115749136801029
9,20,0.0712842547618542,-0.114155418286458,-0.435897513560716,-0.211742545244427,-0.833987069501672,0.0871987095084719,-0.316490542124213,0.0495879638751813,-0.770136380352538,0,-0.152127870960481,0.520571865528784,-0.0255006712224977,-1.02899362155524,-0.342017085966902,-0.260547895086564,0,0.129823312969482,-0.152851740060014,-1.48063824121104,-0.611462324320558,0.0835964928273754
10,22,0.0592902674830218,-0.14672018025079,-0.44397615201436,-0.211543477650205,-0.862717841584175,0.0527549689092064,-0.337016171232465,0.0268365821663532,-0.816369467379384,0,-0.134255181018813,0.543075484356271,-0.0527146893360131,-0.978815601825236,-0.314729476255611,-0.268017932817679,0,0.144704486701528,-0.147922488822499,-1.49175983553077,-0.603786742503277,0.0986726147116657
