,SpeciesUID,A,R,N,D,C,E,Q,G,H,O,I,L,K,M,F,P,U,S,T,W,Y,V
1,4,0.0295910988249881,-0.196316145466025,-0.434647756089837,-0.23604105578011,-0.998288116192793,0.104318439953774,-0.311346937307598,-0.0354082918086638,-0.919819696588984,0,-0.259621698755229,0.414624513815264,-0.00771720798392517,-1.06915707787367,-0.503388142163375,-0.146126902749863,0,0.255048466111884,-0.158401417850339,-1.66044322311365,-0.75325230500787,-0.0141058879322991
2,5,-0.0560159364589796,-0.221531016562463,-0.492188828007449,-0.318987457982709,-0.982331909884394,0.0725453163238639,-0.353142555528607,-0.0533477500796642,-0.859425303309751,0,-0.313693897436418,0.362559193802879,-0.0413276302630865,-1.09656401943998,-0.534509675894437,-0.18432744381834,0,0.212672034058457,-0.206397761140447,-1.71316077105786,-0.81289182117809,-0.131809159148249
3,9,-0.00238627194758845,-0.198183312520857,-0.613661184431908,-0.32937057048639,-1.1531452402277,0.0560886071708304,-0.351447409168826,-0.0594018702870152,-0.970157526843205,0,-0.442235914065512,0.351685902468247,-0.145789548728204,-1.15723575043799,-0.651823136165129,-0.0985602104800667,0,0.199196190652082,-0.253701476907967,-1.75388253099357,-0.941105549016255,-0.140034823901082
4,12,-0.0471313292561666,-0.231904832477187,-0.638851954271469,-0.348932254224317,-1.1636472428705,0.0172853006332891,-0.387474215819033,-0.0912494180081391,-0.993909343691251,0,-0.458504982452967,0.328069518286119,-0.168985698308514,-1.17447584559587,-0.657589212015266,-0.154758147362582,0,0.146164758107601,-0.28338385947586,-1.76915570990181,-0.948292158672442,-0.154095137029005
5,14,-0.0244607582158007,-0.239786385632572,-0.692879767171545,-0.385209692771069,-1.16168540580884,-0.0192091423415066,-0.3999051182784,-0.108416301593349,-1.01283855618182,0,-0.492949355309581,0.335131234607927,-0.229843279173234,-1.19581526806887,-0.666618519617226,-0.145063454324108,0,0.147619511655702,-0.301550637311639,-1.79718689874796,-0.96879594604757,-0.160025545884436
6,15,-0.0511000850652983,-0.253433139372386,-0.673629099220661,-0.386738726806116,-1.19831289483784,-0.000724817028749047,-0.407113410752397,-0.110923653080551,-1.02009182297781,0,-0.498770673537942,0.300885742257046,-0.200792834364462,-1.21006895232103,-0.702481744989153,-0.157577153660252,0,0.133425522681469,-0.311555197238844,-1.8104831374449,-0.993672040367335,-0.195207717020779
7,16,-0.0659749322886221,-0.264106380404026,-0.685855769395845,-0.399786347705853,-1.19340952509596,-0.0107074292456399,-0.419188553390223,-0.125111463827276,-1.02535802015895,0,-0.511916868250966,0.288746832999808,-0.211793968329304,-1.23173834238248,-0.7117247538615,-0.161939247131569,0,0.128294435684316,-0.315659873521391,-1.81841988032626,-1.00785493287858,-0.203307007404294
8,18,-0.0721846061582099,-0.280819978313338,-0.713711009858539,-0.438741173593874,-1.1635266265253,-0.0498339139779911,-0.457225947771436,-0.116355758953247,-1.03166146045701,0,-0.522931675353572,0.288055716848363,-0.246572727366897,-1.25371201194714,-0.691870435456771,-0.185730055223374,0,0.0988035187738725,-0.325913422687054,-1.79875872078074,-0.994820008576962,-0.211570169995686
9,20,-0.107084400235878,-0.298083663080144,-0.695003736080239,-0.418677975431039,-1.21871464934836,-0.0342317494913371,-0.440114851214096,-0.156216485445092,-1.04983795037291,0,-0.517010446465736,0.266110699652957,-0.228999260839346,-1.24436103064907,-0.729989042680113,-0.202172701422669,0,0.102748521245035,-0.33300524601501,-1.83320062411515,-1.01997241047957,-0.217570313499698
10,22,-0.135131242457597,-0.327358731108648,-0.713904958544958,-0.427536431965325,-1.21654188701205,-0.0743625826220509,-0.454861039103493,-0.185458940999139,-1.05643040333818,0,-0.524049081993505,0.274723103060193,-0.255325353613217,-1.22317422420259,-0.705791760162527,-0.225832716738462,0,0.10828404638742,-0.33555818598874,-1.85115078445491,-1.0154739723128,-0.211185140168866
11,23,-0.216399826331791,-0.331569046099077,-0.637802254887275,-0.375477526495653,-1.18237229942322,-0.0962802566273564,-0.472724130593667,-0.238113598889399,-1.04313937552828,0,-0.491970060084992,0.208459150854315,-0.248654756738677,-1.16196433839561,-0.722562259720526,-0.34374993437965,0,0.14005803773175,-0.303005519151351,-1.9254810200205,-1.01522219637864,-0.213617269964625
12,25,-0.104737523529769,-0.309727569710182,-0.742553915642647,-0.443582165592585,-1.2217968701957,-0.0921758353873972,-0.480382108388488,-0.155022948682817,-1.08595126280784,0,-0.555552001194572,0.265097986239417,-0.302148194773678,-1.27629736571357,-0.730394396859377,-0.206681410020713,0,0.0655955368786296,-0.376923196743119,-1.83545814297804,-1.01954365672527,-0.230540806039781
13,28,-0.141729638774389,-0.320222149502467,-0.720208219843553,-0.466678271290208,-1.22205540595403,-0.0801372498905275,-0.503335320057702,-0.184625415111647,-1.101029386889,0,-0.508283044844304,0.25350671941499,-0.275175338064554,-1.29186888967214,-0.711878671914057,-0.260497470240104,0,0.0375509014671525,-0.373585546950735,-1.86905168747977,-1.03111423131104,-0.241599130284344
14,29,-0.103645921150111,-0.302087512952459,-0.752681765128199,-0.464269679501199,-1.25510484040131,-0.0930138118735986,-0.497054061433352,-0.161027699502605,-1.10122691436408,0,-0.569471214113494,0.234636634886975,-0.301814170606669,-1.28669601665105,-0.755860896005373,-0.204041401282061,0,0.0620145794632205,-0.384857232759995,-1.8780569711747,-1.05143375814448,-0.252544188721685
15,31,-0.147562981556478,-0.351882937722482,-0.762560029312175,-0.470323682588283,-1.24229174749837,-0.115776150744459,-0.503030786722984,-0.213009652120831,-1.09193960848878,0,-0.55225129632058,0.247306569273294,-0.312193190816586,-1.26528213114004,-0.729495728778127,-0.26058995731383,0,0.0578454910043318,-0.378360468240587,-1.88002276846704,-1.02527623403183,-0.238018832348768
16,35,-0.144039289000744,-0.343628385803337,-0.755336087098009,-0.476135056536007,-1.26345327439022,-0.0854092910597686,-0.493558941426508,-0.199143310251469,-1.10421834332225,0,-0.575535184695653,0.217595392477201,-0.285445339383779,-1.29637381183274,-0.783712130024841,-0.245491339459971,0,0.0474747460342466,-0.390240750468929,-1.882290100614,-1.07545518672896,-0.273735037040934
17,36,-0.127767675075914,-0.349172733790315,-0.779320869717716,-0.483025957078603,-1.27476695019335,-0.10905901677343,-0.499942690504548,-0.200411475542829,-1.10482073776569,0,-0.589168339475592,0.2296315587284,-0.314521521548879,-1.28668008319106,-0.771811709492033,-0.240277753463707,0,0.0519662107843382,-0.404658901103489,-1.89518041307996,-1.07144480083916,-0.269944914995137
18,38,-0.144661598524737,-0.343249327128568,-0.791385651805508,-0.499025109872265,-1.26952414231737,-0.105264090764809,-0.50841271862693,-0.192596354952031,-1.10360571237613,0,-0.609261699052918,0.209265212304403,-0.325282230170329,-1.30021932609383,-0.794410129135408,-0.22099063734239,0,0.0431334220972901,-0.389672477358302,-1.87990596368663,-1.08516769423833,-0.280017023502871
