aa,Abbrev,Full_name,Pjordan,Rjordan,Avg_jordan,TrifonovConsensusOrderOfRecruitment,Full_Protein_Animal_Phylostratigraphy_Slope,Domain_Animal_Phylostratigraphy_Slope,SlopeAnimal..1496,StErrAnimal..1496,PvalueAnimal..1496,SlopePlant..1496,StErrPlant..1496,PvaluePlant..1496,SlopeAnimal..2101,StErrAnimal..2101,PvalueAnimal..2101,SlopePlant..2101,StErrPlant..2101,PvaluePlant..2101,Slope..2101,StErr..2101,Pvalue..2101,Disorder_Propensity,CAISslope_Estimates,CAISslope_Std.Error,CAISslope_Estimates_noantelope,CAISslope_Std.Error_noantelope,CAISslope_proteomeEstimates_noantelope,CAISslope_proteomeStd.Error_noantelope,CAISslopeNEWproteome_Estimates,CAISslopeNEWproteome_Std.Error,CAISslopeNEWPfam_Estimates,CAISslopeNEWPfam_Std.Error,clrCAISslopeNEWproteome_Estimates,clrCAISslopeNEWproteome_Std.Error,clrCAISslopeNEWPfam_Estimates,clrCAISslopeNEWPfam_Std.Error,kldCAISslope_Proteome,kldCAISslope_Proteome_Std.Error,kldCAISslope_Pfam,kldCAISslope_Pfam_Std.Error,picCAISslopeNEWproteome_Estimates,picCAISslopeNEWproteome_Std.Error,picCAISslopeNEWPfam_Estimates,picCAISslopeNEWPfam_Std.Error,pic2CAISslopeNEWPfam_Estimates,pic2CAISslopeNEWPfam_Std.Error,pic2CAISslopeNEWproteome_Estimates,pic2CAISslopeNEWproteome_Std.Error,logPICpfam_Estimates,logPICpfam_Std.Error,logPICproteome_Estimates,logPICproteome_Std.Error,loglogPICpfam_Estimates,loglogPICpfam_Std.Error,loglogPICproteome_Estimates,loglogPICproteome_Std.Error,ENCslope_Pfam_Estimates,ENCslope_proteome_Std.Error,mean_LKmarch22,stderr_LKmarch22,VolumeA3,RaifordAerobicCost,Essential,Essential_Costa2015,Levy_Stickiness,Mean_RSA,Polarity,Hydrophobicity,TourasseChangeability,num_Codons,PAM_sub,BLOSUM_sub,Mean_TdS_conf,Absolute_TS,N1redun,N2redun,N3redun,Jordan_st2_D,Jordan_st2_Ribosomal_proteins_with_ancestors_reconstructed_by_PAML‡,Jordan_st2_Ribosomal_proteins_with_ancestors_reconstructed_by_EMAPI‡,Jordan_st2_Eukaryotic_proteins_with_ancestors_reconstructed_by_PAML‡,Jordan_st2_Eukaryotic_proteins_with_ancestors_reconstructed_by_EMAPI‡,Jordan_st1_D,Jordan_st1_Derr,Jordan_t3_D,Jordan_t3_Derr,Jordan_t3_current_frequency,Jordan_t3_asymptotic_frequency,Jordan_t3_Freq_w_unbiased_usage_of_codons,Jordan_t3_Number_of_substitutions_since_origin,Jordan_t3_Initial_freq,NonTrans_Estimates_noantelope,NonTrans_Std.Error_noantelope,Trans_Estimates_noantelope,Trans_Std.Error_noantelope,Old_Estimates_noantelope,Old_Std.Error_noantelope,Young_Estimates_noantelope,Young_Std.Error_noantelope,NonTransNEW_Estimates,NonTransNEW_Std.Error,TransNEW_Estimates,TransNEW_Std.Error,OldNEW_Estimates,OldNEW_Std.Error,YoungNEW_Estimates,YoungNEW_Std.Error,ns_root_1,ns_primate_1,ns_rodent_1,ns_root_2,ns_primate_2,ns_rodent_2,Root,Primatomorpha,Glires,Ne_slope,Ne_slope_err,Bodymass_slope,Bodymass_slope_err,logNe_slope,logNe_slope_err,logBodymass_slope,logBodymass_slope_err,pGC,HC_avg_aafreq,MR_avg_aafreq,Cherry_cc,Cherry_cc_p-value,Cost,Bsubtilis_rS,Bs_funcatz,Ecoli _rS,Ec_funcatz,Jansen_Gerstein_enrichmentrank,Lecocq_pearson,Lecocq_kalmangibbs,weight,,,,,
A,Ala,Alanine,-0.08,-0.05,0.0239,2,-6.88E-07,2.73E-06,-2.10E-06,1.77E-06,0.2361751,7.48E-06,8.08E-06,0.3557452,9.23E-06,1.56E-06,3.36E-09,8.67E-06,1.66E-06,1.85E-07,9.33E-06,1.42E-06,5.87E-11,0.45,0.061574506,0.014517758,0.060626402,0.014034739,0.020738578,0.018457308,0.085028654,0.029183624,0.047475072,0.020625408,2.108775179,1.338078382,1.384903775,0.862840634,0.091110461,0.030869374,0.051079602,0.021819944,0.025167687,0.044926015,0.096909872,0.058708975,0.098533764,0.05844024,0.023961366,0.044717308,1.520984499,0.914245243,0.317030229,0.667738062,0.075671843,0.049968124,0.003711134,0.036455728,-0.004405013,0.0007728,0.036671706,0.010825045,88.6,14.5,Non-essential,Non-essential,0.0062,0.782,-0.06,0,4.32,4,2,4,0,0,0,0,4,0.0044,0.0053,-0.0092,0.0049,0.0168,-0.163,0.04,-0.0239,0.00862,0.081,0.058,0.066,NA,0.242,0.028324061,0.01019139,0.037549704,0.012904854,0.024411147,0.010482414,0.03990992,0.013288664,0.041901958,0.020676532,0.044988314,0.026394237,0.039449291,0.021121576,0.048351269,0.027210993,0.068,0.06,0.0737,0.0685,0.0601,0.0737,0.0656,0.0599,0.0763,-1.52E-09,4.04E-09,1.45E-06,8.97E-06,-0.001010889,0.001662517,-9.77E-05,0.000325671,0.833333333,0.07046426,0.068197855,-0.039,0,11.7,0.082,4.86,0.085,-0.03,20,0.19,0.32,89,,,,,
C,Cys,Cysteine,0.31,0.19,-0.0067,16,1.76E-07,-2.41E-06,-1.88E-06,2.11E-06,0.3746901,-2.07E-05,8.89E-06,0.02100993,-5.92E-06,1.40E-06,2.51E-05,-6.56E-06,1.34E-06,1.08E-06,-5.93E-06,1.34E-06,1.09E-05,0,-0.001191586,0.004824591,-0.000999416,0.004779594,0.002484525,0.002694754,-0.000635858,0.009554613,0.000804108,0.01060374,0.806053092,1.449165516,0.70191703,0.935271829,-0.000736845,0.010115577,0.000813781,0.011226367,0.076535765,0.019017045,0.038488553,0.037259659,0.040697568,0.037247166,0.076504503,0.018907569,1.606043168,1.465439039,3.47503656,0.855809751,0.084587212,0.079960422,0.192077345,0.046589958,0.000245625,0.000275564,-0.004310673,0.013829679,108.5,26.5,Conditionally essential,Non-essential,1.0372,0.899,1.36,NA,1,2,12,9,-0.85,-3.9,0,0,2,0.0055,0.0034,0.0066,0.0058,0.0061,0.452,0.07,0.0067,0.00171,0.012,0.032,0.033,1.363,NA,0.001221199,0.005357886,0.019113822,0.008217433,0.000347261,0.006036347,0.025893528,0.013540948,-0.006829541,0.010692283,0.035700143,0.016473083,-0.014615555,0.011987801,0.053881449,0.027028174,0.0214,0.0258,0.0217,0.0209,0.0256,0.0217,0.0207,0.0256,0.0219,2.29E-10,7.32E-10,2.02E-06,1.57E-06,0.000215709,0.000300258,6.80E-05,5.70E-05,0.5,0.023145295,0.0235857,0.11,0,24.7,-0.121,-4.01,-0.155,-8.55,3,0.16,20.03,121,,,,,
D,Asp,Aspartic Acid,-0.22,0.04,0.0039,3,1.75E-06,1.36E-06,2.54E-06,1.42E-06,0.07377422,-7.41E-06,3.83E-06,0.05472696,1.72E-07,1.12E-06,0.8775773,-3.97E-07,1.11E-06,0.7211368,2.87E-08,1.06E-06,0.978363,0.407,0.009109333,0.007548097,0.009083796,0.007581976,-0.001262514,0.009930069,0.029271155,0.015002095,0.027504395,0.014144193,1.382967138,1.145789588,1.179627235,0.740797681,0.030366466,0.015893415,0.028633279,0.014982823,0.00672513,0.016697119,0.014890492,0.029081123,0.01500148,0.028914246,0.005956899,0.016655547,0.313493966,0.598468638,0.11029367,0.339488869,0.018305767,0.032637711,0.009167029,0.018506143,0.000143776,0.000441082,0.019292195,0.017575969,111.1,15.5,Non-essential,Non-essential,-0.7485,0.634,-0.8,-1,3.44,2,4,6,-0.78,-4.2,0,0,2,0.0025,0.0026,0.0103,-0.0011,-0.0018,-0.042,0.03,-0.0039,0.00229,0.052,0.047,0.033,NA,0.074,0.016146846,0.006219062,0.00138508,0.006180849,0.019689289,0.0061016,-0.00837811,0.01602935,0.040415072,0.012221275,0.008145565,0.012333,0.046401295,0.011977852,-0.004560466,0.032073096,0.0469,0.0435,0.0509,0.0509,0.0436,0.0508,0.0511,0.044,0.0505,5.16E-09,1.82E-09,1.30E-07,3.17E-06,0.00190408,0.000765676,-0.000151177,0.000114159,0.5,0.04651458,0.04706628,-0.149,0,12.7,0.146,6.69,0.216,11.21,7,0.03,0.06,133,,,,,
E,Glu,Glutamic Acid,-0.25,-0.17,0.0137,7,-1.50E-06,-3.85E-06,9.95E-06,2.19E-06,5.82E-06,-5.11E-06,6.77E-06,0.4514546,-2.46E-06,1.29E-06,0.05658818,-5.25E-07,1.42E-06,0.7111336,-1.93E-06,1.26E-06,0.1261407,0.781,-0.056190679,0.009056956,-0.055954736,0.009044816,-0.038104241,0.007693474,-0.10008206,0.018667386,-0.079413138,0.022762647,-0.590935887,1.149032773,-0.579320611,0.750072215,-0.105904097,0.019765981,-0.083963279,0.024102579,-0.16322641,0.046580577,-0.116030159,0.043415965,-0.11456135,0.043242694,-0.164442987,0.046361385,-1.774214313,0.675574164,-2.29743462,0.641580756,-0.095908132,0.036868798,-0.123375164,0.035054777,0.002517021,0.000556513,-0.015308039,0.016679177,138.4,9.5,Non-essential,Non-essential,-0.7893,0.589,-0.77,-1,3.26,2,4,5,-1.46,-6.4,0,0,2,-0.0096,-0.0162,-0.0035,-0.0123,-0.0065,-0.15,0.03,-0.0137,0.00244,0.065,0.048,0.033,NA,0.136,-0.036920267,0.007163942,-0.049652333,0.017368154,-0.024378163,0.005061082,-0.105009977,0.032861198,-0.064407295,0.014707156,-0.078822895,0.035166153,-0.039452462,0.010461105,-0.185538232,0.066313922,0.0689,0.0617,0.0679,0.0733,0.0617,0.0679,0.0741,0.0615,0.068,1.08E-09,1.90E-09,2.41E-06,4.46E-06,0.000354591,0.000784375,-7.13E-06,0.000162306,0.5,0.06997581,0.06798734,-0.013,0.24,15.3,0.252,9.88,0.193,12.33,14,0.46,0.3,147,,,,,
F,Phe,Phenalalanine,0.34,0.07,-0.0042,17,1.51E-06,2.95E-06,2.35E-06,1.35E-06,0.08084958,1.92E-06,4.03E-06,0.6346678,-5.39E-06,1.04E-06,2.57E-07,-5.19E-06,1.08E-06,1.60E-06,-5.77E-06,1.02E-06,1.63E-08,0.117,-0.023064626,0.00772071,-0.023156994,0.007746502,-0.012880295,0.004810197,-0.036707071,0.015704547,-0.018329364,0.013063692,-0.197727637,1.422415338,0.22321324,0.835180057,-0.038877071,0.016626346,-0.019348503,0.013831427,0.160154908,0.032611679,0.107647512,0.058044086,0.108951692,0.057755039,0.160159307,0.032423808,2.523878786,1.365769376,4.362609114,0.89252985,0.139135395,0.074471963,0.246934203,0.048292652,0.001621358,0.0004399,-0.034832045,0.015609997,189.9,61,Essential,Essential,1.2727,0.864,1.27,1,1.71,2,9,6,-0.62,-3.1,0,0,0,0.0052,0.0048,0.0103,0.0033,0.0026,0.12,0.02,0.0042,0.00091,0.042,0.053,0.033,4.067,NA,-0.012330707,0.003761693,-0.035944043,0.006930495,-0.015743825,0.00471625,0.010001517,0.018600802,-0.025304912,0.007499426,-0.061554075,0.014276222,-0.033453948,0.009366695,0.019936308,0.037177699,0.0362,0.0391,0.0301,0.036,0.0389,0.0301,0.0371,0.0387,0.0294,-1.39E-09,1.10E-09,3.49E-06,2.04E-06,-0.000410254,0.000458532,0.000139902,7.38E-05,0.166666667,0.036051445,0.037640675,0,0.75,52,-0.311,-14.22,-0.1,-2.74,5,20.09,20.05,165,,,,,
G,Gly,Glycine,-0.08,-0.03,0.0063,1,1.38E-06,5.45E-06,-1.18E-05,2.03E-06,7.04E-09,5.35E-07,5.96E-06,0.9286133,9.01E-06,1.55E-06,7.01E-09,7.99E-06,1.58E-06,4.36E-07,8.71E-06,1.51E-06,8.57E-09,0.437,0.096847208,0.011143487,0.096342426,0.010993662,0.052961112,0.015864068,0.15575552,0.024378033,0.108807761,0.018852702,3.298648177,1.384987278,2.327790669,0.906210362,0.165448295,0.02577891,0.115049309,0.019967025,0.137085214,0.041509161,0.209093055,0.059303964,0.210325293,0.059001938,0.137856813,0.041292226,3.294707587,0.942825873,2.104386794,0.657246482,0.173509034,0.051611153,0.10165101,0.036192507,-0.005691952,0.000626641,0.018508396,0.00910348,60.1,14.5,Conditionally essential,Non-essential,-0.1771,0.731,-0.41,0,2.94,4,5,6,0,0,0,0,4,-0.0016,-0.0087,-0.0075,0.0017,0.0082,-0.098,0.03,-0.0063,0.00253,0.072,0.059,0.066,NA,0.093,0.063880361,0.010487912,0.030880243,0.015217169,0.048667248,0.00969042,0.099997037,0.012113374,0.11877579,0.021412416,0.051573946,0.030578463,0.095524937,0.019443689,0.161530321,0.0265827,0.0553,0.0575,0.0617,0.0604,0.0574,0.0617,0.0595,0.0572,0.0629,-1.28E-09,3.49E-09,5.00E-06,8.32E-06,-0.001142946,0.001432326,0.00030862,0.000301119,0.833333333,0.06653347,0.0639677,-0.031,0,11.7,0.067,3.65,0.235,8.06,19,20.1,0.06,75,,,,,
H,His,Histidine,0.18,0.09,-0.0073,14,1.83E-07,2.87E-07,-4.20E-07,9.72E-07,0.6660983,-2.41E-06,3.04E-06,0.4298926,-1.70E-06,7.15E-07,0.01740469,-1.49E-06,7.57E-07,0.0489517,-1.73E-06,6.85E-07,0.01185594,0.259,0.010394595,0.003045766,0.010492017,0.003032478,0.008850913,0.003269955,0.015984469,0.006191781,-0.003895125,0.010625502,1.440329472,1.248940953,0.524631713,0.8185028,0.016908477,0.00655566,-0.003895134,0.011250092,-0.021190076,0.014640876,-0.063667081,0.041313741,-0.060286648,0.041501643,-0.020090603,0.01468377,-2.130085634,1.540717799,-0.756174321,0.565596099,-0.118890157,0.084005364,-0.043095429,0.030828374,-0.000682897,0.000172958,-0.032167461,0.018203622,153.2,29,Essential,Essential,0.1204,0.731,0.49,-1,4.22,2,6,8,-0.95,-4.5,0,0,2,0.001,0.0004,-0.0008,0.0028,0.0018,0.178,0.03,0.0073,0.00107,0.022,0.032,0.033,1.592,NA,0.005289131,0.00562882,0.007198032,0.007167438,0.00527472,0.008390669,0.008585092,0.003989413,-0.004309,0.011286286,0.008192552,0.014367952,-0.01363697,0.016751033,0.019894532,0.007918183,0.0264,0.0282,0.0267,0.0261,0.0282,0.0268,0.026,0.0283,0.0267,5.30E-10,8.52E-10,2.48E-06,1.89E-06,0.000196359,0.000351695,0.000118301,6.82E-05,0.5,0.026336265,0.02645848,0.01,0.46,38.3,-0.132,-8.65,-0.13,-8.38,8,0.23,0.12,155,,,,,
I,Ile,Isoleucine,0.08,-0.06,-0.0089,12,3.38E-06,5.10E-06,6.92E-06,1.40E-06,7.71E-07,-2.98E-07,4.08E-06,0.9419102,4.17E-06,1.05E-06,7.16E-05,3.78E-06,1.06E-06,0.000395926,3.87E-06,9.51E-07,4.85E-05,0.09,-0.101535933,0.010759563,-0.101678912,0.010792368,-0.054051966,0.012790484,-0.164083161,0.024296443,-0.142075745,0.022812086,-2.773902466,1.352308262,-1.976351322,0.852715981,-0.174423623,0.025681425,-0.151072722,0.024115933,0.124189596,0.04405614,0.159781628,0.051703834,0.157806721,0.051522599,0.122159464,0.043946894,2.920110182,0.980152634,2.636868776,0.978178091,0.167822932,0.05323449,0.157776112,0.053010681,0.006493724,0.000569028,-0.072971195,0.016799889,166.7,38,Essential,Essential,1.1109,0.875,1.31,1,3.95,3,5,4,-0.76,-2.6,0,0,3,-0.0092,0.0026,-0.0073,0.001,-0.0329,0.072,0.04,0.0089,0.005,0.068,0.077,0.049,2.12,NA,-0.091136658,0.008470631,-0.104055442,0.019167317,-0.093460483,0.008636935,-0.064703159,0.022164994,-0.150119964,0.019472903,-0.166838659,0.040021402,-0.154266756,0.019861644,-0.099871156,0.044958786,0.042,0.0415,0.0348,0.0437,0.0417,0.0349,0.0471,0.0419,0.0335,6.26E-10,1.87E-09,2.80E-06,4.88E-06,0.000553114,0.000765593,0.000158575,0.000176725,0.111111111,0.04253802,0.04401183,-0.111,0,32.3,-0.154,-3.27,-0.039,0,6,0.02,20.04,131,,,,,
K,Lys,Lysine,0.07,-0.19,0.0065,15,1.06E-07,-1.75E-06,8.26E-06,2.07E-06,6.63E-05,5.82E-06,6.63E-06,0.3807064,-1.68E-06,1.46E-06,0.2498303,-7.03E-07,1.50E-06,0.6397353,-1.61E-06,1.36E-06,0.2353098,0.588,-0.134890916,0.010085081,-0.134528989,0.010017587,-0.078355839,0.015230027,-0.228192982,0.024015972,-0.178219644,0.021545702,-2.992401743,1.184013196,-2.375480609,0.72205085,-0.242352237,0.02536304,-0.189273755,0.022768232,-0.135551919,0.048926961,-0.144417896,0.030868765,-0.143795595,0.030710345,-0.136813017,0.048695384,-2.520013029,0.526792322,-2.388774587,0.814237667,-0.130636705,0.029009047,-0.120144136,0.044660683,0.00773583,0.000584726,-0.018455302,0.021054146,168.3,36,Essential,Essential,-1.1806,0.554,-1.18,-1,3.03,2,5,5,-1.89,-9.3,0,0,2,0.0036,-0.0042,0.0216,-0.0048,0.0018,-0.014,0.03,-0.0017,0.00346,0.103,0.1,0.098,NA,0.109,-0.102363365,0.007869384,-0.091662239,0.010803699,-0.085923452,0.006983699,-0.172440931,0.023464538,-0.174054624,0.01865316,-0.146482052,0.023907194,-0.149621238,0.016019695,-0.282675016,0.050374597,0.06,0.0605,0.055,0.0619,0.0606,0.0551,0.0637,0.0603,0.0534,3.18E-10,2.15E-09,1.12E-06,5.72E-06,0.000386167,0.000886561,3.39E-05,0.000207861,0.166666667,0.05630949,0.0564038,-0.011,0.33,30.3,0.281,15.03,0.224,16.32,16,0.59,0.25,146,,,,,
L,Leu,Leucine,0,-0.04,0.0017,8,-7.14E-07,1.41E-06,1.36E-05,2.28E-06,2.82E-09,2.79E-06,7.28E-06,0.7023908,6.12E-07,1.61E-06,0.7043893,-4.77E-07,1.66E-06,0.7741583,8.91E-07,1.58E-06,0.5734422,0.195,0.020713741,0.013309254,0.020523314,0.013346565,0.012294303,0.014319325,0.029466384,0.026808202,0.038810944,0.029727975,1.107649281,1.338987033,1.017963363,0.821999967,0.032412583,0.028370404,0.042331954,0.031459146,0.164828995,0.040880695,0.122596475,0.139725501,0.127998595,0.139243453,0.165182498,0.040649918,1.278300387,1.395208891,1.683744352,0.416954484,0.067624144,0.076117983,0.091625945,0.022750226,-0.001787749,0.000761864,-0.017506538,0.00967662,166.7,37,Essential,Essential,0.9138,0.853,1.21,1,2.25,6,6,4,-0.71,-2.7,2,0,4,-0.0212,-0.0089,-0.0341,-0.0141,-0.0277,-0.075,0.04,-0.0065,0.00333,0.059,0.051,0.033,NA,0.092,0.011584354,0.011982879,0.07305279,0.024680433,0.015056702,0.012998038,0.066349077,0.030905266,0.012291922,0.024019987,0.090392979,0.050474395,0.019899527,0.02606435,0.095647183,0.062361462,0.1012,0.1022,0.0959,0.0988,0.102,0.0958,0.0991,0.1014,0.096,-4.58E-09,3.39E-09,9.39E-06,7.49E-06,-0.001967007,0.001394752,0.000366799,0.000271628,0.388888889,0.09900914,0.100343615,0.05,0,27.3,-0.304,-12.97,-0.283,-19.98,4,0.18,0.09,131,,,,,
