ENSMUSG00000024811|ENSMUSG00000024811.13|ENSMUSP00000159823|ENSMUSP00000159823.1,0.7284687777401223
ENSMUSG00000071586|ENSMUSG00000071586.5|ENSMUSP00000093859|ENSMUSP00000093859.5,1.0419825970967493
ENSMUSG00000074720|ENSMUSG00000074720.2|ENSMUSP00000096850|ENSMUSP00000096850.2,0.8045266718917928
ENSMUSG00000002059|ENSMUSG00000002059.19|ENSMUSP00000123033|ENSMUSP00000123033.2,0.7193789939293351
ENSMUSG00000041415|ENSMUSG00000041415.12|ENSMUSP00000043676|ENSMUSP00000043676.8,0.7494261471007096
ENSMUSG00000090765|ENSMUSG00000090765.2|ENSMUSP00000093010|ENSMUSP00000093010.3,0.9677448089642432
ENSMUSG00000074527|ENSMUSG00000074527.12|ENSMUSP00000104559|ENSMUSP00000104559.3,0.8095285400196128
ENSMUSG00000078894|ENSMUSG00000078894.10|ENSMUSP00000126545|ENSMUSP00000126545.2,0.8095285400196128
ENSMUSG00000076895|ENSMUSG00000076895.2|ENSMUSP00000143621|ENSMUSP00000143621.2,1.7948214140650978
ENSMUSG00000078742|ENSMUSG00000078742.2|ENSMUSP00000103649|ENSMUSP00000103649.2,1.4644314768657467
ENSMUSG00000100846|ENSMUSG00000100846.2|ENSMUSP00000159648|ENSMUSP00000159648.1,0.8665243469379867
ENSMUSG00000094383|ENSMUSG00000094383.2|ENSMUSP00000129755|ENSMUSP00000129755.3,0.7735024527618869
ENSMUSG00000098799|ENSMUSG00000098799.2|ENSMUSP00000143068|ENSMUSP00000143068.2,1.6458584935280198
ENSMUSG00000096949|ENSMUSG00000096949.2|ENSMUSP00000138054|ENSMUSP00000138054.2,1.4708686575340877
ENSMUSG00000113786|ENSMUSG00000113786.2|ENSMUSP00000152361|ENSMUSP00000152361.2,0.9204957373904478
ENSMUSG00000116672|ENSMUSG00000116672.2|ENSMUSP00000155918|ENSMUSP00000155918.2,0.8254483619210744
ENSMUSG00000118124|ENSMUSG00000118124.2|ENSMUSP00000158097|ENSMUSP00000158097.2,0.975952224537003
ENSMUSG00000003283|ENSMUSG00000003283.16|ENSMUSP00000003370|ENSMUSP00000003370.8,0.6847124175989431
ENSMUSG00000020327|ENSMUSG00000020327.5|ENSMUSP00000020577|ENSMUSP00000020577.4,0.7132586796226281
ENSMUSG00000013663|ENSMUSG00000013663.9|ENSMUSP00000159627|ENSMUSP00000159627.1,0.7376722978860725
ENSMUSG00000022346|ENSMUSG00000022346.18|ENSMUSP00000022971|ENSMUSP00000022971.8,0.6388775645297208
ENSMUSG00000023951|ENSMUSG00000023951.19|ENSMUSP00000115883|ENSMUSP00000115883.3,0.7068854706044484
ENSMUSG00000025583|ENSMUSG00000025583.17|ENSMUSP00000159536|ENSMUSP00000159536.1,0.6741094710803487
ENSMUSG00000022421|ENSMUSG00000022421.22|ENSMUSP00000023057|ENSMUSP00000023057.10,0.5829406922298918
ENSMUSG00000033478|ENSMUSG00000033478.7|ENSMUSP00000159825|ENSMUSP00000159825.1,0.7242096252419378
ENSMUSG00000030122|ENSMUSG00000030122.14|ENSMUSP00000159803|ENSMUSP00000159803.1,0.8303417449830135
ENSMUSG00000028416|ENSMUSG00000028416.14|ENSMUSP00000030125|ENSMUSP00000030125.5,0.7031003903096614
