ENSG00000004478|ENSG00000004478.8|ENSP00000001008|ENSP00000001008.4,1.1540188587425637
ENSG00000003509|ENSG00000003509.16|ENSP00000002125|ENSP00000002125.4,1.0486779770856767
ENSG00000001626|ENSG00000001626.18|ENSP00000003084|ENSP00000003084.6,1.0011011267749783
ENSG00000048028|ENSG00000048028.12|ENSP00000003302|ENSP00000003302.4,1.0413194192472541
ENSG00000001630|ENSG00000001630.18|ENSP00000003100|ENSP00000003100.8,1.0790388349714644
ENSG00000002587|ENSG00000002587.10|ENSP00000002596|ENSP00000002596.5,1.3470464438835614
ENSG00000003137|ENSG00000003137.9|ENSP00000001146|ENSP00000001146.2,1.499723762298614
ENSG00000001036|ENSG00000001036.14|ENSP00000002165|ENSP00000002165.5,1.072789633667153
ENSG00000001460|ENSG00000001460.18|ENSP00000003583|ENSP00000003583.8,1.0493227270898886
ENSG00000005801|ENSG00000005801.18|ENSP00000005082|ENSP00000005082.9,1.199836176413539
ENSG00000003249|ENSG00000003249.15|ENSP00000002501|ENSP00000002501.6,1.4046241028677988
ENSG00000004776|ENSG00000004776.13|ENSP00000004982|ENSP00000004982.3,1.3582036655028153
ENSG00000001617|ENSG00000001617.12|ENSP00000002829|ENSP00000002829.3,1.1784538027999678
ENSG00000173153|ENSG00000173153.17|ENSP00000000442|ENSP00000000442.6,1.190437938222294
ENSG00000003056|ENSG00000003056.8|ENSP00000000412|ENSP00000000412.3,1.1084286038770161
ENSG00000002933|ENSG00000002933.9|ENSP00000004103|ENSP00000004103.3,1.1834064879899804
ENSG00000003989|ENSG00000003989.18|ENSP00000004531|ENSP00000004531.10,0.9576010941217806
ENSG00000004059|ENSG00000004059.11|ENSP00000000233|ENSP00000000233.5,1.2769680326745732
ENSG00000001461|ENSG00000001461.19|ENSP00000003912|ENSP00000003912.3,1.1432695075624684
ENSG00000004799|ENSG00000004799.8|ENSP00000005178|ENSP00000005178.5,1.0456228028022785
ENSG00000006282|ENSG00000006282.22|ENSP00000006658|ENSP00000006658.6,1.1695145073137156
ENSG00000007312|ENSG00000007312.14|ENSP00000006750|ENSP00000006750.4,1.3426652472517724
ENSG00000006118|ENSG00000006118.15|ENSP00000005286|ENSP00000005286.4,1.1418256814520436
ENSG00000075790|ENSG00000075790.12|ENSP00000005259|ENSP00000005259.4,1.227432156357949
ENSG00000007306|ENSG00000007306.15|ENSP00000006724|ENSP00000006724.3,1.092406367127439
ENSG00000005073|ENSG00000005073.6|ENSP00000006015|ENSP00000006015.3,1.1553072907642674
ENSG00000004975|ENSG00000004975.12|ENSP00000005340|ENSP00000005340.4,1.051123310133115
ENSG00000006625|ENSG00000006625.18|ENSP00000005374|ENSP00000005374.6,1.2252163358036012
ENSG00000005486|ENSG00000005486.17|ENSP00000006777|ENSP00000006777.6,1.1547642374788092
ENSG00000007255|ENSG00000007255.10|ENSP00000006275|ENSP00000006275.3,1.3587926626772082
ENSG00000005175|ENSG00000005175.10|ENSP00000005386|ENSP00000005386.3,1.145737256456186
ENSG00000006611|ENSG00000006611.17|ENSP00000005226|ENSP00000005226.7,1.0952022509644792
ENSG00000007520|ENSG00000007520.4|ENSP00000007390|ENSP00000007390.2,1.2133191606072329
ENSG00000186654|ENSG00000186654.22|ENSP00000006251|ENSP00000006251.7,1.3714497406722987
ENSG00000006453|ENSG00000006453.14|ENSP00000005260|ENSP00000005260.8,1.0088430227536447
ENSG00000007038|ENSG00000007038.11|ENSP00000005995|ENSP00000005995.3,1.1090371779717019
ENSG00000006210|ENSG00000006210.7|ENSP00000006053|ENSP00000006053.6,1.098139405969039
ENSG00000007376|ENSG00000007376.8|ENSP00000007264|ENSP00000007264.2,1.35636000559835
ENSG00000006451|ENSG00000006451.8|ENSP00000005257|ENSP00000005257.2,1.2354191976474809
ENSG00000006652|ENSG00000006652.15|ENSP00000005558|ENSP00000005558.4,1.0376063724721618
ENSG00000006116|ENSG00000006116.4|ENSP00000005284|ENSP00000005284.4,1.058832752327624
ENSG00000007001|ENSG00000007001.14|ENSP00000005756|ENSP00000005756.5,1.1106976949624903
ENSG00000004779|ENSG00000004779.10|ENSP00000007516|ENSP00000007516.2,1.0687564287387012
ENSG00000005884|ENSG00000005884.18|ENSP00000007722|ENSP00000007722.7,1.1621414329906592
ENSG00000011478|ENSG00000011478.13|ENSP00000012049|ENSP00000012049.4,1.0284970106642382
ENSG00000048707|ENSG00000048707.15|ENSP00000011700|ENSP00000011700.6,0.9731246226243034
ENSG00000009780|ENSG00000009780.16|ENSP00000010299|ENSP00000010299.6,1.1117793876503013
ENSG00000004777|ENSG00000004777.19|ENSP00000007510|ENSP00000007510.6,1.0162673357120142
ENSG00000010072|ENSG00000010072.16|ENSP00000008440|ENSP00000008440.9,1.156804393503596
ENSG00000010270|ENSG00000010270.14|ENSP00000009041|ENSP00000009041.7,1.0611735927743993
ENSG00000008118|ENSG00000008118.10|ENSP00000009105|ENSP00000009105.1,1.1270451847751026
ENSG00000010626|ENSG00000010626.15|ENSP00000007969|ENSP00000007969.8,1.2105910620105
ENSG00000006047|ENSG00000006047.13|ENSP00000007699|ENSP00000007699.5,0.9830856075273666
ENSG00000008517|ENSG00000008517.19|ENSP00000008180|ENSP00000008180.9,1.3047587212430665
ENSG00000008438|ENSG00000008438.5|ENSP00000008938|ENSP00000008938.3,1.3434294093309442
ENSG00000010219|ENSG00000010219.14|ENSP00000010132|ENSP00000010132.5,1.0961711043711917
ENSG00000010017|ENSG00000010017.13|ENSP00000011619|ENSP00000011619.3,0.9848892521432583
ENSG00000008197|ENSG00000008197.5|ENSP00000008391|ENSP00000008391.4,0.9878771080391607
ENSG00000008405|ENSG00000008405.12|ENSP00000008527|ENSP00000008527.5,1.0564876869649764
ENSG00000010818|ENSG00000010818.11|ENSP00000012134|ENSP00000012134.2,0.9659726186014845
ENSG00000011485|ENSG00000011485.15|ENSP00000012443|ENSP00000012443.4,1.296512961561717
ENSG00000008394|ENSG00000008394.13|ENSP00000010404|ENSP00000010404.2,1.2908494393072858
ENSG00000008282|ENSG00000008282.10|ENSP00000011473|ENSP00000011473.2,1.0750796533443738
ENSG00000091704|ENSG00000091704.10|ENSP00000011292|ENSP00000011292.3,1.3120681378137777
ENSG00000006059|ENSG00000006059.4|ENSP00000007735|ENSP00000007735.3,1.4565471207999663
ENSG00000011105|ENSG00000011105.14|ENSP00000011898|ENSP00000011898.5,1.4280971467916936
ENSG00000008988|ENSG00000008988.11|ENSP00000009589|ENSP00000009589.3,1.2269520590897751
ENSG00000010610|ENSG00000010610.10|ENSP00000011653|ENSP00000011653.4,1.1068252776563512
ENSG00000012963|ENSG00000012963.15|ENSP00000013070|ENSP00000013070.6,1.1229644235465956
ENSG00000005882|ENSG00000005882.12|ENSP00000007708|ENSP00000007708.3,1.3482247058220673
ENSG00000010278|ENSG00000010278.15|ENSP00000009180|ENSP00000009180.4,1.2697107798356333
ENSG00000019582|ENSG00000019582.17|ENSP00000009530|ENSP00000009530.7,1.344812170233487
ENSG00000006025|ENSG00000006025.13|ENSP00000007414|ENSP00000007414.3,1.1589744715059336
ENSG00000008323|ENSG00000008323.16|ENSP00000011684|ENSP00000011684.7,1.1276746088198566
ENSG00000186115|ENSG00000186115.13|ENSP00000011989|ENSP00000011989.8,1.1575431375176028
ENSG00000239672|ENSG00000239672.8|ENSP00000013034|ENSP00000013034.3,1.1103379203927528
ENSG00000014919|ENSG00000014919.13|ENSP00000016171|ENSP00000016171.6,0.9565432411358198
ENSG00000013297|ENSG00000013297.12|ENSP00000064724|ENSP00000064724.4,1.302295065758755
ENSG00000038219|ENSG00000038219.13|ENSP00000040738|ENSP00000040738.5,1.026831547511931
ENSG00000059588|ENSG00000059588.10|ENSP00000040877|ENSP00000040877.1,0.9775837043552127
ENSG00000011465|ENSG00000011465.18|ENSP00000052754|ENSP00000052754.5,1.0302016120587068
ENSG00000049247|ENSG00000049247.14|ENSP00000054668|ENSP00000054668.5,1.0966847714151307
ENSG00000013563|ENSG00000013563.14|ENSP00000014935|ENSP00000014935.3,1.2764113043748146
ENSG00000079112|ENSG00000079112.10|ENSP00000027335|ENSP00000027335.3,1.0245214890121506
ENSG00000023516|ENSG00000023516.9|ENSP00000025301|ENSP00000025301.2,1.069166384458941
ENSG00000023287|ENSG00000023287.13|ENSP00000025008|ENSP00000025008.5,1.1285242199623418
ENSG00000042062|ENSG00000042062.13|ENSP00000045083|ENSP00000045083.2,1.1405113477176743
ENSG00000022567|ENSG00000022567.10|ENSP00000024061|ENSP00000024061.3,1.2303982453962385
ENSG00000030582|ENSG00000030582.19|ENSP00000053867|ENSP00000053867.2,1.1609598114207549
ENSG00000039987|ENSG00000039987.7|ENSP00000042931|ENSP00000042931.1,1.2402604182898063
ENSG00000048544|ENSG00000048544.7|ENSP00000053468|ENSP00000053468.3,1.1260332094478058
ENSG00000015532|ENSG00000015532.10|ENSP00000017003|ENSP00000017003.2,1.2023535527943907
ENSG00000013583|ENSG00000013583.10|ENSP00000014930|ENSP00000014930.4,1.1779107522472716
ENSG00000241644|ENSG00000241644.2|ENSP00000013222|ENSP00000013222.5,1.228381524567628
ENSG00000050327|ENSG00000050327.15|ENSP00000056217|ENSP00000056217.5,0.9899803260542456
ENSG00000050730|ENSG00000050730.16|ENSP00000057513|ENSP00000057513.3,1.1309505964212252
ENSG00000029364|ENSG00000029364.12|ENSP00000468864|ENSP00000468864.1,0.992763879334342
ENSG00000039523|ENSG00000039523.20|ENSP00000042381|ENSP00000042381.4,1.014223966364714
ENSG00000035141|ENSG00000035141.10|ENSP00000037869|ENSP00000037869.3,1.5188315473620289
