ENSMUSG00000000149|ENSMUSG00000000149.11|ENSMUSP00000000153|ENSMUSP00000000153.5,1.4170419480215657
ENSMUSG00000055022|ENSMUSG00000055022.15|ENSMUSP00000000109|ENSMUSP00000000109.5,1.00676441134134
ENSMUSG00000000085|ENSMUSG00000000085.17|ENSMUSP00000000087|ENSMUSP00000000087.7,1.0193163487082724
ENSMUSG00000000028|ENSMUSG00000000028.16|ENSMUSP00000000028|ENSMUSP00000000028.8,1.0799899062233569
ENSMUSG00000000120|ENSMUSG00000000120.7|ENSMUSP00000000122|ENSMUSP00000000122.7,1.1808451359037804
ENSMUSG00000048583|ENSMUSG00000048583.18|ENSMUSP00000000033|ENSMUSP00000000033.6,1.2005991881063187
ENSMUSG00000020875|ENSMUSG00000020875.10|ENSMUSP00000000010|ENSMUSP00000000010.9,1.2487492267820524
ENSMUSG00000000088|ENSMUSG00000000088.8|ENSMUSP00000000090|ENSMUSP00000000090.7,1.112318762302123
ENSMUSG00000000126|ENSMUSG00000000126.12|ENSMUSP00000000128|ENSMUSP00000000128.4,1.1598897587699866
ENSMUSG00000020152|ENSMUSG00000020152.8|ENSMUSP00000000137|ENSMUSP00000000137.8,1.0971667638551694
ENSMUSG00000000058|ENSMUSG00000000058.7|ENSMUSP00000000058|ENSMUSP00000000058.7,1.2209178410629389
ENSMUSG00000000001|ENSMUSG00000000001.5|ENSMUSP00000000001|ENSMUSP00000000001.5,1.086067913981953
ENSMUSG00000020333|ENSMUSG00000020333.18|ENSMUSP00000000145|ENSMUSP00000000145.6,1.0487720059782233
ENSMUSG00000000003|ENSMUSG00000000003.16|ENSMUSP00000000003|ENSMUSP00000000003.8,1.1854818504826605
ENSMUSG00000000049|ENSMUSG00000000049.12|ENSMUSP00000000049|ENSMUSP00000000049.6,1.0631783632318907
ENSMUSG00000000125|ENSMUSG00000000125.6|ENSMUSP00000000127|ENSMUSP00000000127.6,1.260723297990055
ENSMUSG00000000093|ENSMUSG00000000093.7|ENSMUSP00000000095|ENSMUSP00000000095.7,1.083171303514293
ENSMUSG00000000078|ENSMUSG00000000078.8|ENSMUSP00000000080|ENSMUSP00000000080.7,0.9712434331870317
ENSMUSG00000000094|ENSMUSG00000000094.13|ENSMUSP00000000096|ENSMUSP00000000096.6,1.1839488014374597
ENSMUSG00000061689|ENSMUSG00000061689.16|ENSMUSP00000000094|ENSMUSP00000000094.8,1.1761873516233452
ENSMUSG00000000127|ENSMUSG00000000127.16|ENSMUSP00000000129|ENSMUSP00000000129.7,1.070212273858494
ENSMUSG00000035352|ENSMUSG00000035352.4|ENSMUSP00000000194|ENSMUSP00000000194.4,1.243765931370756
ENSMUSG00000000167|ENSMUSG00000000167.15|ENSMUSP00000000171|ENSMUSP00000000171.9,0.9985344465176924
ENSMUSG00000000182|ENSMUSG00000000182.10|ENSMUSP00000000186|ENSMUSP00000000186.7,1.0514475057082444
ENSMUSG00000000216|ENSMUSG00000000216.9|ENSMUSP00000000221|ENSMUSP00000000221.6,1.123650082943482
ENSMUSG00000000202|ENSMUSG00000000202.10|ENSMUSP00000000206|ENSMUSP00000000206.4,1.1519189749335645
ENSMUSG00000000248|ENSMUSG00000000248.17|ENSMUSP00000000254|ENSMUSP00000000254.8,1.1891513635894961
ENSMUSG00000038257|ENSMUSG00000038257.11|ENSMUSP00000000275|ENSMUSP00000000275.9,1.0345939185845776
ENSMUSG00000000183|ENSMUSG00000000183.7|ENSMUSP00000000187|ENSMUSP00000000187.6,1.0990036764583064
ENSMUSG00000000197|ENSMUSG00000000197.9|ENSMUSP00000000201|ENSMUSP00000000201.6,1.0040914391789446
ENSMUSG00000000247|ENSMUSG00000000247.12|ENSMUSP00000000253|ENSMUSP00000000253.6,1.123299102139557
ENSMUSG00000000157|ENSMUSG00000000157.17|ENSMUSP00000000161|ENSMUSP00000000161.8,1.1273523517046387
ENSMUSG00000000214|ENSMUSG00000000214.12|ENSMUSP00000000219|ENSMUSP00000000219.4,1.076144296973019
ENSMUSG00000000159|ENSMUSG00000000159.17|ENSMUSP00000000163|ENSMUSP00000000163.7,1.016187860807006
ENSMUSG00000000253|ENSMUSG00000000253.14|ENSMUSP00000000260|ENSMUSP00000000260.6,1.141318840518846
ENSMUSG00000062661|ENSMUSG00000062661.7|ENSMUSP00000000199|ENSMUSP00000000199.8,1.3908148450499414
ENSMUSG00000035385|ENSMUSG00000035385.6|ENSMUSP00000000193|ENSMUSP00000000193.6,1.1022886331859723
ENSMUSG00000000184|ENSMUSG00000000184.13|ENSMUSP00000000188|ENSMUSP00000000188.9,1.325717726463998
ENSMUSG00000026535|ENSMUSG00000026535.10|ENSMUSP00000000266|ENSMUSP00000000266.8,1.170019153964236
ENSMUSG00000000215|ENSMUSG00000000215.12|ENSMUSP00000000220|ENSMUSP00000000220.3,1.4958869694842691
ENSMUSG00000000171|ENSMUSG00000000171.6|ENSMUSP00000000175|ENSMUSP00000000175.5,1.1098959545262599
ENSMUSG00000000204|ENSMUSG00000000204.17|ENSMUSP00000000208|ENSMUSP00000000208.6,1.018556976996972
ENSMUSG00000000317|ENSMUSG00000000317.12|ENSMUSP00000000326|ENSMUSP00000000326.6,0.9509785165251655
ENSMUSG00000000308|ENSMUSG00000000308.15|ENSMUSP00000000317|ENSMUSP00000000317.6,1.069162159717856
ENSMUSG00000000385|ENSMUSG00000000385.9|ENSMUSP00000000395|ENSMUSP00000000395.7,1.0523936228800783
ENSMUSG00000000340|ENSMUSG00000000340.11|ENSMUSP00000000349|ENSMUSP00000000349.7,1.0107352514422805
ENSMUSG00000000290|ENSMUSG00000000290.14|ENSMUSP00000000299|ENSMUSP00000000299.8,1.1205028323079051
ENSMUSG00000000384|ENSMUSG00000000384.16|ENSMUSP00000000394|ENSMUSP00000000394.8,1.090303336577441
ENSMUSG00000028494|ENSMUSG00000028494.13|ENSMUSP00000000466|ENSMUSP00000000466.7,1.1099064349722587
ENSMUSG00000000282|ENSMUSG00000000282.13|ENSMUSP00000000291|ENSMUSP00000000291.3,1.054345211621604
ENSMUSG00000000420|ENSMUSG00000000420.16|ENSMUSP00000000430|ENSMUSP00000000430.8,1.0814881405867378
ENSMUSG00000000374|ENSMUSG00000000374.9|ENSMUSP00000000384|ENSMUSP00000000384.7,1.052558381200941
ENSMUSG00000000355|ENSMUSG00000000355.14|ENSMUSP00000000365|ENSMUSP00000000365.3,1.3072728200984005
ENSMUSG00000000441|ENSMUSG00000000441.18|ENSMUSP00000000451|ENSMUSP00000000451.8,1.03154363123261
ENSMUSG00000000278|ENSMUSG00000000278.11|ENSMUSP00000000287|ENSMUSP00000000287.9,1.0871619561750963
ENSMUSG00000000326|ENSMUSG00000000326.14|ENSMUSP00000000335|ENSMUSP00000000335.5,1.1871493165956504
ENSMUSG00000000339|ENSMUSG00000000339.15|ENSMUSP00000000348|ENSMUSP00000000348.9,0.978125112702748
ENSMUSG00000000439|ENSMUSG00000000439.10|ENSMUSP00000000449|ENSMUSP00000000449.8,1.0487267354119443
ENSMUSG00000000276|ENSMUSG00000000276.12|ENSMUSP00000000285|ENSMUSP00000000285.3,1.0501365555362314
ENSMUSG00000000411|ENSMUSG00000000411.8|ENSMUSP00000000421|ENSMUSP00000000421.6,1.178291479589084
ENSMUSG00000000275|ENSMUSG00000000275.17|ENSMUSP00000000284|ENSMUSP00000000284.7,1.1566672281257504
ENSMUSG00000029730|ENSMUSG00000029730.17|ENSMUSP00000000505|ENSMUSP00000000505.10,1.0269956813608292
ENSMUSG00000000359|ENSMUSG00000000359.4|ENSMUSP00000000369|ENSMUSP00000000369.4,1.116231188087521
ENSMUSG00000029231|ENSMUSG00000029231.16|ENSMUSP00000000476|ENSMUSP00000000476.9,1.0479599102917176
ENSMUSG00000000301|ENSMUSG00000000301.17|ENSMUSP00000000310|ENSMUSP00000000310.8,1.2715918396200552
