ENSMUSG00000000149|ENSMUSG00000000149.11|ENSMUSP00000000153|ENSMUSP00000000153.5,0.37978469687963595
ENSMUSG00000055022|ENSMUSG00000055022.15|ENSMUSP00000000109|ENSMUSP00000000109.5,0.26982526334121804
ENSMUSG00000000085|ENSMUSG00000000085.17|ENSMUSP00000000087|ENSMUSP00000000087.7,0.27318933716755106
ENSMUSG00000000028|ENSMUSG00000000028.16|ENSMUSP00000000028|ENSMUSP00000000028.8,0.2894505979450782
ENSMUSG00000000120|ENSMUSG00000000120.7|ENSMUSP00000000122|ENSMUSP00000000122.7,0.31648104181188713
ENSMUSG00000048583|ENSMUSG00000048583.18|ENSMUSP00000000033|ENSMUSP00000000033.6,0.32177537112821974
ENSMUSG00000020875|ENSMUSG00000020875.10|ENSMUSP00000000010|ENSMUSP00000000010.9,0.3346801745948618
ENSMUSG00000000088|ENSMUSG00000000088.8|ENSMUSP00000000090|ENSMUSP00000000090.7,0.29811512959390113
ENSMUSG00000000126|ENSMUSG00000000126.12|ENSMUSP00000000128|ENSMUSP00000000128.4,0.31086474261632063
ENSMUSG00000020152|ENSMUSG00000020152.8|ENSMUSP00000000137|ENSMUSP00000000137.8,0.29405420737114507
ENSMUSG00000000058|ENSMUSG00000000058.7|ENSMUSP00000000058|ENSMUSP00000000058.7,0.32722102040127454
ENSMUSG00000000001|ENSMUSG00000000001.5|ENSMUSP00000000001|ENSMUSP00000000001.5,0.29107957889194086
ENSMUSG00000020333|ENSMUSG00000020333.18|ENSMUSP00000000145|ENSMUSP00000000145.6,0.28108381614418076
ENSMUSG00000000003|ENSMUSG00000000003.16|ENSMUSP00000000003|ENSMUSP00000000003.8,0.31772373843305163
ENSMUSG00000000049|ENSMUSG00000000049.12|ENSMUSP00000000049|ENSMUSP00000000049.6,0.28494489734249207
ENSMUSG00000000125|ENSMUSG00000000125.6|ENSMUSP00000000127|ENSMUSP00000000127.6,0.3378893731725721
ENSMUSG00000000093|ENSMUSG00000000093.7|ENSMUSP00000000095|ENSMUSP00000000095.7,0.2903032516067981
ENSMUSG00000000078|ENSMUSG00000000078.8|ENSMUSP00000000080|ENSMUSP00000000080.7,0.26030520365629795
ENSMUSG00000000094|ENSMUSG00000000094.13|ENSMUSP00000000096|ENSMUSP00000000096.6,0.31731286240517953
ENSMUSG00000061689|ENSMUSG00000061689.16|ENSMUSP00000000094|ENSMUSP00000000094.8,0.31523269825117134
ENSMUSG00000000127|ENSMUSG00000000127.16|ENSMUSP00000000129|ENSMUSP00000000129.7,0.2868300720325791
ENSMUSG00000035352|ENSMUSG00000035352.4|ENSMUSP00000000194|ENSMUSP00000000194.4,0.3333445900415017
ENSMUSG00000000167|ENSMUSG00000000167.15|ENSMUSP00000000171|ENSMUSP00000000171.9,0.2676195313935928
ENSMUSG00000000182|ENSMUSG00000000182.10|ENSMUSP00000000186|ENSMUSP00000000186.7,0.2818008830280422
ENSMUSG00000000216|ENSMUSG00000000216.9|ENSMUSP00000000221|ENSMUSP00000000221.6,0.30115206310249076
ENSMUSG00000000202|ENSMUSG00000000202.10|ENSMUSP00000000206|ENSMUSP00000000206.4,0.3087284743658049
ENSMUSG00000000248|ENSMUSG00000000248.17|ENSMUSP00000000254|ENSMUSP00000000254.8,0.31870721314593603
ENSMUSG00000038257|ENSMUSG00000038257.11|ENSMUSP00000000275|ENSMUSP00000000275.9,0.27728391408013403
ENSMUSG00000000183|ENSMUSG00000000183.7|ENSMUSP00000000187|ENSMUSP00000000187.6,0.29454652257547054
ENSMUSG00000000197|ENSMUSG00000000197.9|ENSMUSP00000000201|ENSMUSP00000000201.6,0.2691088738766179
ENSMUSG00000000247|ENSMUSG00000000247.12|ENSMUSP00000000253|ENSMUSP00000000253.6,0.301057995923736
ENSMUSG00000000157|ENSMUSG00000000157.17|ENSMUSP00000000161|ENSMUSP00000000161.8,0.3021443167342113
ENSMUSG00000000214|ENSMUSG00000000214.12|ENSMUSP00000000219|ENSMUSP00000000219.4,0.2884199272966229
ENSMUSG00000000159|ENSMUSG00000000159.17|ENSMUSP00000000163|ENSMUSP00000000163.7,0.2723508638739882
ENSMUSG00000000253|ENSMUSG00000000253.14|ENSMUSP00000000260|ENSMUSP00000000260.6,0.30588750777254364
ENSMUSG00000062661|ENSMUSG00000062661.7|ENSMUSP00000000199|ENSMUSP00000000199.8,0.3727555102235759
ENSMUSG00000035385|ENSMUSG00000035385.6|ENSMUSP00000000193|ENSMUSP00000000193.6,0.2954269314418568
ENSMUSG00000000184|ENSMUSG00000000184.13|ENSMUSP00000000188|ENSMUSP00000000188.9,0.35530868059060905
ENSMUSG00000026535|ENSMUSG00000026535.10|ENSMUSP00000000266|ENSMUSP00000000266.8,0.31357954530003057
ENSMUSG00000000215|ENSMUSG00000000215.12|ENSMUSP00000000220|ENSMUSP00000000220.3,0.40091613382720626
ENSMUSG00000000171|ENSMUSG00000000171.6|ENSMUSP00000000175|ENSMUSP00000000175.5,0.2974657872663578
ENSMUSG00000000204|ENSMUSG00000000204.17|ENSMUSP00000000208|ENSMUSP00000000208.6,0.27298581619514983
ENSMUSG00000000317|ENSMUSG00000000317.12|ENSMUSP00000000326|ENSMUSP00000000326.6,0.25487395637214894
ENSMUSG00000000308|ENSMUSG00000000308.15|ENSMUSP00000000317|ENSMUSP00000000317.6,0.28654862850781443
ENSMUSG00000000385|ENSMUSG00000000385.9|ENSMUSP00000000395|ENSMUSP00000000395.7,0.28205445408415597
ENSMUSG00000000340|ENSMUSG00000000340.11|ENSMUSP00000000349|ENSMUSP00000000349.7,0.270889497400203
ENSMUSG00000000290|ENSMUSG00000000290.14|ENSMUSP00000000299|ENSMUSP00000000299.8,0.30030856116501825
